,name,count,prob,sex
276,ELIA,90.0,0.77,female
277,STEWART,197.0,0.99,male
278,SIGNE,48.0,1.0,female
279,SUSANN,27.0,1.0,female
280,FREDDA,14.0,0.93,female
281,ALETA,11.0,1.0,female
282,AUGUSTUS,9.0,1.0,male
283,SERAFINA,7.0,1.0,female
284,FELICE,49.0,0.61,male
285,VELVET,16.0,0.94,female
286,MARLON,322.0,1.0,male
287,KERRY,943.0,0.88,female
288,RAYFORD,1.0,1.0,male
289,ALLENE,5.0,0.8,female
290,FREDDY,425.0,0.97,male
291,LORENZO,496.0,1.0,male
292,MONTE,49.0,0.84,male
293,TAWNA,1.0,1.0,female
294,MARGIT,38.0,1.0,female
295,ANTONY,249.0,1.0,male
296,ROSETTE,4.0,1.0,female
297,OLIVE,65.0,0.95,female
298,CAROLYNE,44.0,1.0,female
299,WILLY,231.0,1.0,male
300,CARMEN,1916.0,1.0,female
301,SOILA,4.0,1.0,female
302,ALISHA,263.0,1.0,female
303,HAI,45.0,0.84,male
304,DOMINGA,10.0,1.0,female
305,MERIDITH,5.0,1.0,female
306,MIREYA,84.0,0.99,female
307,SEAN,2515.0,1.0,male
308,GARRY,214.0,1.0,male
309,CARROLL,15.0,0.6,male
310,BROOKS,65.0,0.89,male
311,ESPERANZA,180.0,0.99,female
312,MICKIE,25.0,0.88,female
313,ROCKY,132.0,0.97,male
314,JEANETT,23.0,1.0,female
315,BOYCE,5.0,1.0,male
316,JONATHON,145.0,1.0,male
317,ERLINDA,9.0,1.0,female
318,MICHAEL,11160.0,1.0,male
319,MINTA,3.0,1.0,female
320,MAGARET,1.0,1.0,female
321,GRADY,43.0,0.74,male
322,JOSPEH,1.0,1.0,male
323,LEANNE,622.0,1.0,female
324,SCOTT,3450.0,1.0,male
325,MADGE,4.0,1.0,female
326,ASHA,119.0,0.99,female
327,MOSES,105.0,0.9,male
328,TAMBRA,3.0,1.0,female
329,TWANDA,5.0,0.8,female
330,KRISHNA,194.0,0.71,male
331,MOISES,279.0,1.0,male
332,ANDRE,1210.0,0.95,male
333,HYACINTH,11.0,0.73,male
334,FRANCES,431.0,0.99,female
335,EVELYNN,3.0,1.0,female
336,GIOVANNI,722.0,1.0,male
337,VERNIA,0.0,0.0,None
338,CHUNG,70.0,0.79,male
339,CHANCE,92.0,0.97,male
340,SHARA,56.0,1.0,female
341,ARON,81.0,0.84,male
342,PATRICK,2877.0,1.0,male
343,DOMENIC,35.0,1.0,male
344,DEVIN,307.0,0.86,male
345,GROVER,18.0,1.0,male
346,FEDERICO,686.0,1.0,male
347,SAMIRA,166.0,0.99,female
348,MAURICIO,1203.0,1.0,male
349,KATHERINA,22.0,1.0,female
350,JANINE,397.0,1.0,female
351,COLBY,100.0,0.8,male
352,MARIAM,311.0,0.99,female
353,CARTER,102.0,0.92,male
354,HA,111.0,0.53,female
355,RANAE,3.0,1.0,female
356,RENE,640.0,0.85,male
357,COLTON,104.0,1.0,male
358,BRANDIE,86.0,1.0,female
359,TOM,3736.0,1.0,male
360,ENOCH,18.0,1.0,male
361,BENTON,10.0,1.0,male
362,JOHNNIE,58.0,0.67,male
363,SHON,24.0,0.58,female
364,TRESA,12.0,1.0,female
365,BRANT,19.0,1.0,male
366,CLORA,0.0,0.0,None
367,HUMBERTO,194.0,0.99,male
368,CHIA,65.0,0.75,female
369,LIZETH,159.0,1.0,female
370,DELCIE,0.0,0.0,None
371,GEOFFREY,262.0,1.0,male
372,LAURI,114.0,0.69,female
373,LIZZETTE,30.0,1.0,female
374,ELISEO,64.0,1.0,male
375,JAYSON,136.0,0.99,male
376,CHANTE,19.0,1.0,female
377,AILEEN,167.0,1.0,female
378,JASPER,119.0,0.96,male
379,SEYMOUR,8.0,1.0,male
380,MINA,330.0,0.6,female
381,MARCELINO,30.0,1.0,male
382,JOSEF,104.0,0.99,male
383,GILLIAN,440.0,0.99,female
384,ARTIE,40.0,0.98,male
385,HARLAN,13.0,1.0,male
386,TIFFANIE,73.0,1.0,female
387,JEROLD,4.0,1.0,male
388,CONNIE,1050.0,1.0,female
389,GAYLORD,13.0,0.92,male
390,VEDA,25.0,0.56,female
391,STEPHEN,2608.0,1.0,male
392,BERNIE,134.0,0.75,male
393,MERLE,42.0,0.76,female
394,MIKE,5595.0,1.0,male
395,KAROL,139.0,0.7,female
396,CEDRICK,25.0,1.0,male
397,ANDERA,2.0,1.0,female
398,DALLAS,98.0,0.84,male
399,MAXWELL,77.0,0.99,male
400,ALESSANDRA,669.0,1.0,female
401,WERNER,80.0,1.0,male
402,LOUIE,123.0,0.88,male
403,BERTHA,91.0,0.99,female
404,ANTONE,6.0,1.0,male
405,TIFFINY,12.0,1.0,female
406,KIETH,0.0,0.0,None
407,CHAE,17.0,0.94,female
408,MANDIE,19.0,1.0,female
409,MICHEL,729.0,0.96,male
410,SHAYNE,68.0,0.78,male
411,TY,210.0,0.9,male
412,NADA,263.0,0.98,female
413,VALERIA,789.0,1.0,female
414,ELEONORA,210.0,1.0,female
415,CHASTITY,39.0,1.0,female
416,KAM,80.0,0.61,female
417,FIDEL,76.0,0.99,male
418,ADALBERTO,27.0,1.0,male
419,VELIA,9.0,1.0,female
420,CATERINA,143.0,0.99,female
421,LEIF,125.0,0.99,male
422,CHRISTIAN,2548.0,0.99,male
423,LANE,86.0,0.64,male
424,ALEXIS,1224.0,0.52,male
425,LARA,561.0,1.0,female
426,OPHELIA,27.0,1.0,female
427,FELIX,692.0,1.0,male
428,WENDY,1964.0,0.99,female
429,LAKIESHA,4.0,1.0,female
430,STEPHAN,284.0,1.0,male
431,BARRY,635.0,0.98,male
432,SYLVIE,582.0,1.0,female
433,BOBBIE,151.0,0.9,female
434,SUZAN,127.0,0.95,female
435,WHITNEY,497.0,0.99,female
436,KRAIG,11.0,1.0,male
437,DELIA,190.0,1.0,female
438,MARIO,2056.0,0.99,male
439,ARLEAN,1.0,1.0,female
440,MAURITA,0.0,0.0,None
441,SHANNON,1799.0,0.93,female
442,ORVILLE,12.0,1.0,male
443,MIQUEL,45.0,1.0,male
444,MEE,25.0,0.56,male
445,THEODORE,46.0,0.96,male
446,LASANDRA,2.0,1.0,female
447,VIRGIL,40.0,1.0,male
448,MARIANA,1247.0,1.0,female
449,DEON,50.0,0.94,male
450,KERI,176.0,0.99,female
451,CLAUDIO,863.0,1.0,male
452,INDIA,51.0,1.0,female
453,BENEDICT,59.0,1.0,male
454,TIFFANI,86.0,1.0,female
455,OCTAVIO,117.0,0.99,male
456,PEARLINE,4.0,1.0,female
457,TWANA,3.0,1.0,female
458,LELAND,19.0,0.95,male
459,OZELLA,0.0,0.0,None
460,CALVIN,298.0,0.99,male
461,CLEMENT,284.0,1.0,male
462,AMBROSE,8.0,1.0,male
463,THURMAN,3.0,1.0,male
464,SONDRA,78.0,1.0,female
465,TAYLOR,1126.0,0.63,female
466,ALISON,1288.0,0.99,female
467,ALAN,2079.0,1.0,male
468,JOEL,1472.0,0.99,male
469,JEANETTA,7.0,1.0,female
470,FRANSISCA,25.0,0.96,female
471,GAVIN,519.0,1.0,male
472,DENA,121.0,0.99,female
473,LEAH,905.0,1.0,female
474,MICHAL,360.0,0.75,male
475,WINFORD,1.0,1.0,male
476,WILBERT,63.0,1.0,male
477,NOEL,332.0,0.83,male
478,GERDA,29.0,1.0,female
479,SENA,80.0,0.93,female
480,MICKEY,148.0,0.67,male
481,SHAWANDA,8.0,1.0,female
482,RUEBEN,5.0,1.0,male
483,YI,68.0,0.56,female
484,BRADY,112.0,0.97,male
485,BOOKER,5.0,1.0,male
486,ALTHEA,35.0,1.0,female
487,ROD,191.0,1.0,male
488,ROSARIO,346.0,0.75,female
489,SHANEL,9.0,1.0,female
490,QUINN,71.0,0.75,male
491,MARJORY,10.0,1.0,female
492,JOHNNIE,58.0,0.67,male
493,KELLEY,291.0,0.97,female
494,JOESPH,6.0,1.0,male
495,HAYDEN,139.0,0.94,male
496,JOHNSON,82.0,0.99,male
497,LOGAN,393.0,0.82,male
498,BURT,26.0,0.96,male
499,GLENDA,275.0,1.0,female
500,SON,37.0,0.89,male
501,DAVE,2606.0,1.0,male
502,KAI,207.0,0.87,male
503,TIMMY,107.0,0.95,male
504,HARLAND,1.0,1.0,male
505,STANLEY,221.0,0.96,male
506,LUTHER,22.0,1.0,male
507,IRVING,73.0,1.0,male
508,JORDAN,1774.0,0.77,male
509,WILLARD,16.0,1.0,male
510,GABRIELLA,280.0,0.99,female
511,DONNIE,111.0,0.96,male
512,EULALIA,12.0,0.92,female
513,CHERELLE,10.0,1.0,female
514,AUDRIE,14.0,1.0,female
515,BART,242.0,0.99,male
516,ERICK,470.0,1.0,male
517,MARYA,24.0,1.0,female
518,ALLENA,2.0,1.0,female
519,JARROD,127.0,1.0,male
520,IGNACIO,451.0,1.0,male
521,TAMIKO,23.0,1.0,female
522,INEZ,88.0,0.9,female
523,SANA,211.0,0.85,female
524,DERRICK,360.0,1.0,male
525,STACEE,7.0,1.0,female
526,LEANORA,0.0,0.0,None
527,ARNOLDO,19.0,1.0,male
528,FREDRICKA,3.0,1.0,female
529,MIRIAM,851.0,1.0,female
530,LAUNA,8.0,1.0,female
531,FAYE,249.0,1.0,female
532,CHEYENNE,138.0,0.89,female
533,CARL,929.0,1.0,male
534,VICKI,708.0,1.0,female
535,ESTEBAN,495.0,1.0,male
536,TOBY,312.0,0.88,male
537,VANETTA,1.0,1.0,female
538,ROXANA,284.0,0.99,female
539,MARCHELLE,8.0,1.0,female
540,WINONA,12.0,1.0,female
541,KAYLEEN,18.0,1.0,female
542,NORBERT,77.0,1.0,male
543,STEFAN,923.0,1.0,male
544,NOE,176.0,0.6,female
545,MARIA,8467.0,0.99,female
546,CATHARINE,30.0,1.0,female
547,VERLIE,1.0,1.0,female
548,LORRIE,56.0,1.0,female
